user_id,event_date,event_type
U00001,2025-11-20,feature_used
U00001,2026-03-06,login
U00001,2026-02-02,feature_used
U00002,2025-11-13,feature_used
U00002,2025-09-30,report_created
U00002,2025-07-20,integration_used
U00002,2025-03-02,feature_used
U00003,2025-06-16,login
U00003,2025-09-04,feature_used
U00003,2025-02-05,feature_used
U00004,2025-10-09,login
U00004,2025-09-21,feature_used
U00004,2025-09-16,feature_used
U00004,2025-11-30,login
U00005,2025-08-13,login
U00005,2025-07-19,integration_used
U00005,2025-04-27,support_ticket
U00006,2025-09-11,feature_used
U00006,2025-11-20,feature_used
U00006,2025-06-15,feature_used
U00007,2025-03-15,feature_used
U00007,2025-03-28,login
U00007,2025-03-18,login
U00008,2025-10-03,feature_used
U00008,2025-10-15,login
U00008,2025-07-30,login
U00009,2025-08-01,feature_used
U00009,2025-11-19,integration_used
U00009,2025-12-25,report_created
U00009,2025-09-30,login
U00010,2026-02-19,support_ticket
U00010,2025-12-23,login
U00010,2025-07-18,login
U00010,2025-08-28,integration_used
U00011,2026-04-27,support_ticket
U00011,2025-10-08,support_ticket
U00011,2026-04-19,login
U00011,2026-06-08,login
U00012,2025-11-04,support_ticket
U00012,2025-09-14,feature_used
U00012,2026-01-26,feature_used
U00013,2025-09-30,login
U00013,2026-01-09,integration_used
U00013,2025-08-04,support_ticket
U00014,2025-11-24,feature_used
U00014,2025-11-27,feature_used
U00014,2026-01-02,report_created
U00014,2026-01-08,integration_used
U00015,2026-02-20,feature_used
U00015,2026-02-09,feature_used
U00015,2026-04-16,report_created
U00016,2025-02-26,login
U00016,2025-04-02,report_created
U00016,2025-09-12,login
U00017,2025-10-22,integration_used
U00017,2026-05-24,feature_used
U00017,2025-11-02,login
U00017,2025-10-18,report_created
U00018,2025-10-17,feature_used
U00018,2025-11-09,feature_used
U00018,2025-08-01,login
U00018,2025-11-22,report_created
U00019,2025-04-28,feature_used
U00019,2025-03-28,login
U00019,2025-06-06,report_created
U00020,2025-04-09,integration_used
U00020,2025-04-30,login
U00020,2025-05-02,feature_used
U00020,2025-04-20,login
U00020,2025-04-26,feature_used
U00021,2025-10-09,login
U00021,2025-03-29,integration_used
U00021,2025-03-21,integration_used
U00022,2026-04-21,feature_used
U00022,2025-11-01,integration_used
U00022,2026-01-13,login
U00023,2025-10-03,login
U00023,2025-12-03,login
U00023,2025-08-11,feature_used
U00023,2025-08-29,login
U00024,2026-03-27,integration_used
U00024,2025-11-12,login
U00024,2025-10-06,support_ticket
U00025,2025-12-09,login
U00025,2025-10-06,feature_used
U00025,2025-04-11,feature_used
U00026,2025-09-09,feature_used
U00026,2025-11-23,login
U00026,2026-03-02,support_ticket
U00027,2025-09-13,feature_used
U00027,2025-09-01,report_created
U00027,2025-08-14,login
U00028,2026-04-07,login
U00028,2026-02-04,report_created
U00028,2026-01-31,login
U00029,2025-08-06,support_ticket
U00029,2025-05-06,integration_used
U00029,2025-04-26,report_created
U00030,2026-01-08,feature_used
U00030,2025-08-06,login
U00030,2025-11-28,feature_used
U00031,2025-11-19,support_ticket
U00031,2026-04-06,feature_used
