user_id,signup_date,plan_tier,region,acquisition_channel,company_segment,monthly_logins,features_used,support_tickets,team_size,api_adopted,churned,churn_date,monthly_price,acquisition_cost,estimated_ltv
U00001,2025-09-13,Free,US,Organic,SMB,11,2,0,2,0,0,,0,36.37,0
U00002,2025-02-23,Pro,India,Content,Startup,12,7,1,5,1,0,,79,23.25,1027
U00003,2025-01-08,Pro,India,Organic,SMB,10,7,0,2,1,0,,79,27.29,869
U00004,2025-07-11,Pro,UK,Partner,SMB,12,9,0,4,0,0,,79,53.85,790
U00005,2025-04-20,Pro,US,Organic,SMB,11,7,1,6,0,0,,79,12.85,869
U00006,2025-05-21,Pro,Germany,Organic,Startup,8,4,4,4,0,0,,79,40.36,1106
U00007,2025-01-24,Free,Germany,Paid Search,Startup,11,4,2,2,1,1,2025-04-25,0,87.34,0
U00008,2025-04-22,Free,US,Paid Search,Startup,10,3,2,2,0,0,,0,114.97,0
U00009,2025-07-13,Pro,India,Paid Search,SMB,14,6,1,6,0,1,2025-12-27,79,98.23,474
U00010,2025-04-17,Pro,US,Content,Mid-Market,12,4,0,7,1,0,,79,33.42,948
U00011,2025-09-07,Business,US,Referral,SMB,12,8,3,7,0,0,,249,26.79,2241
U00012,2025-08-26,Pro,US,Content,Mid-Market,11,9,1,6,0,0,,79,30.27,632
U00013,2025-07-31,Pro,US,Referral,Mid-Market,10,6,2,5,1,1,2026-02-05,79,30.0,474
U00014,2025-09-29,Pro,India,Referral,Mid-Market,14,4,1,2,0,1,2026-01-26,79,21.59,316
U00015,2025-08-05,Pro,India,Referral,Startup,11,7,0,5,0,0,,79,28.09,711
U00016,2025-02-23,Pro,India,Referral,SMB,10,6,1,2,0,0,,79,41.78,869
U00017,2025-09-15,Pro,Germany,Content,SMB,12,5,0,6,1,0,,79,29.57,632
U00018,2025-07-15,Pro,UK,Referral,Mid-Market,14,5,2,4,0,0,,79,33.57,1027
U00019,2025-01-30,Free,US,Referral,SMB,9,5,4,4,0,1,2025-06-08,0,34.21,0
U00020,2025-03-31,Pro,US,Paid Search,Startup,17,7,0,8,0,1,2025-05-02,79,113.75,79
U00021,2025-02-19,Pro,India,Paid Search,Startup,9,5,1,2,1,0,,79,66.93,711
U00022,2025-10-18,Free,UK,Organic,Enterprise,3,4,2,2,0,0,,0,45.97,0
U00023,2025-08-07,Free,US,Content,SMB,12,2,4,6,0,1,2025-12-04,0,40.03,0
U00024,2025-10-03,Free,India,Content,SMB,3,4,2,3,0,0,,0,35.62,0
U00025,2025-03-26,Free,US,Organic,SMB,8,2,2,2,0,0,,0,30.32,0
U00026,2025-07-10,Business,India,Content,SMB,9,7,0,8,1,0,,249,27.38,2739
U00027,2025-07-01,Pro,India,Paid Search,Startup,8,3,1,5,0,1,2025-10-08,79,129.76,237
U00028,2025-08-14,Free,US,Referral,SMB,7,3,2,1,0,0,,0,25.47,0
U00029,2025-02-05,Free,US,Referral,Mid-Market,9,5,2,2,0,0,,0,22.23,0
U00030,2025-06-04,Free,India,Content,SMB,5,3,2,1,1,0,,0,17.11,0
U00031,2025-07-13,Free,Canada,Organic,Startup,6,3,2,3,0,1,2026-04-22,0,43.92,0
U00032,2025-09-05,Pro,UK,Referral,Startup,13,6,2,2,1,0,,79,45.94,1106
U00033,2025-07-16,Free,India,Content,Startup,7,3,1,2,0,0,,0,33.05,0
U00034,2025-05-15,Free,Germany,Referral,Startup,9,1,0,2,0,0,,0,59.67,0
U00035,2025-05-19,Pro,US,Organic,Startup,15,6,0,6,0,0,,79,35.1,632
U00036,2025-04-12,Pro,Australia,Partner,Startup,12,5,2,7,1,0,,79,87.31,1106
U00037,2025-02-17,Pro,India,Paid Search,Mid-Market,22,9,1,6,1,0,,79,65.39,869
U00038,2025-03-25,Business,UK,Referral,Mid-Market,10,8,4,6,0,0,,249,19.93,2241
U00039,2025-02-13,Pro,UK,Organic,Mid-Market,14,7,2,3,0,0,,79,36.82,1106
U00040,2025-03-09,Pro,UK,Paid Search,Mid-Market,12,5,1,4,0,1,2025-05-16,79,84.61,158
U00041,2025-09-14,Business,India,Content,SMB,17,8,1,8,0,0,,249,38.49,3237
U00042,2025-06-07,Business,Australia,Paid Search,SMB,15,5,0,9,1,0,,249,126.11,3237
U00043,2025-01-28,Free,US,Referral,Mid-Market,9,3,3,2,0,1,2025-07-28,0,20.41,0
U00044,2025-05-10,Pro,US,Organic,SMB,16,8,0,1,0,0,,79,35.05,1027
U00045,2025-03-23,Pro,India,Organic,Mid-Market,12,5,1,5,0,1,2025-07-23,79,34.98,316
U00046,2025-07-18,Pro,Australia,Organic,Mid-Market,9,4,2,4,1,0,,79,33.81,711
U00047,2025-09-07,Free,US,Organic,Startup,7,2,0,3,0,1,2025-11-12,0,17.26,0
U00048,2025-01-04,Pro,India,Organic,SMB,10,7,2,4,1,0,,79,27.53,948
